K,M,N,allclose_atol_1e2,config,dtype,kernel,max_abs_err,mean_abs_err,p99_abs_err
128,128,512,True,128x128x512,fp32,baseline,3.4332275390625e-05,9.78668481366185e-07,7.62939453125e-06
128,128,512,True,128x128x512,fp32,fused_pwl,3.4332275390625e-05,9.78668481366185e-07,7.62939453125e-06
128,128,512,True,128x128x512,fp32,fused_taylor,0.0004801750183105469,5.550947389565408e-05,0.0004696846008300781
512,256,1024,True,256x512x1024,fp32,baseline,5.340576171875e-05,2.686375864868751e-06,1.9073486328125e-05
512,256,1024,True,256x512x1024,fp32,fused_pwl,5.340576171875e-05,2.686375864868751e-06,1.9073486328125e-05
512,256,1024,True,256x512x1024,fp32,fused_taylor,0.0004980564117431641,3.027204002137296e-05,0.0004563331604003906
1024,512,2048,True,512x1024x2048,fp32,baseline,8.195638656616211e-05,4.054363216710044e-06,2.6702880859375e-05
1024,512,2048,True,512x1024x2048,fp32,fused_pwl,8.195638656616211e-05,4.054363216710044e-06,2.6702880859375e-05
1024,512,2048,True,512x1024x2048,fp32,fused_taylor,0.0005297660827636719,2.354625212319661e-05,0.00044155505020171404
2048,1024,4096,True,1024x2048x4096,fp32,baseline,0.00011444091796875,6.170247615955304e-06,3.814697265625e-05
2048,1024,4096,True,1024x2048x4096,fp32,fused_pwl,0.00011444091796875,6.170247615955304e-06,3.814697265625e-05
2048,1024,4096,True,1024x2048x4096,fp32,fused_taylor,0.0005342960357666016,1.9772853192989714e-05,0.00041174888610839844
4096,2048,4096,True,2048x4096x4096,fp32,baseline,0.0001678466796875,9.416870852874126e-06,5.91278076171875e-05
4096,2048,4096,True,2048x4096x4096,fp32,fused_pwl,0.0001678466796875,9.416870852874126e-06,5.91278076171875e-05
4096,2048,4096,True,2048x4096x4096,fp32,fused_taylor,0.0005676746368408203,1.8935690604848787e-05,0.0003590583801269531
128,128,512,False,128x128x512,bf16,baseline,0.18680953979492188,0.013201788067817688,0.08142452239990236
128,128,512,False,128x128x512,bf16,fused_pwl,0.18680953979492188,0.013201788067817688,0.08142452239990236
128,128,512,False,128x128x512,bf16,fused_taylor,0.18680953979492188,0.01320628821849823,0.08142452239990236
512,256,1024,False,256x512x1024,bf16,baseline,0.3833465576171875,0.025980457663536072,0.1567949485778809
512,256,1024,False,256x512x1024,bf16,fused_pwl,0.3833465576171875,0.025980457663536072,0.1567949485778809
512,256,1024,False,256x512x1024,bf16,fused_taylor,0.3833465576171875,0.025982407853007317,0.15681480407714865
1024,512,2048,False,512x1024x2048,bf16,baseline,0.5542755126953125,0.03658748045563698,0.22246074676513672
1024,512,2048,False,512x1024x2048,bf16,fused_pwl,0.5542755126953125,0.03658748045563698,0.22246074676513672
1024,512,2048,False,512x1024x2048,bf16,fused_taylor,0.5542755126953125,0.036588992923498154,0.2224578857421875
2048,1024,4096,False,1024x2048x4096,bf16,baseline,0.806182861328125,0.05156455934047699,0.311767578125
2048,1024,4096,False,1024x2048x4096,bf16,fused_pwl,0.806182861328125,0.05156455934047699,0.311767578125
2048,1024,4096,False,1024x2048x4096,bf16,fused_taylor,0.806182861328125,0.05156509950757027,0.311767578125
4096,2048,4096,False,2048x4096x4096,bf16,baseline,1.283843994140625,0.07279391586780548,0.44287109375
4096,2048,4096,False,2048x4096x4096,bf16,fused_pwl,1.283843994140625,0.07279391586780548,0.44287109375
4096,2048,4096,False,2048x4096x4096,bf16,fused_taylor,1.283843994140625,0.07279418408870697,0.44286701202392464
