K,M,N,config,dtype,hbm_model_reduction_x,p50_speedup_x,variant
128,128,512,128x128x512,fp32,1.8858131487889274,1.7619047619047619,fused_pwl
128,128,512,128x128x512,fp32,1.8858131487889274,1.4230769230769231,fused_taylor
512,256,1024,256x512x1024,fp32,1.5707915273132664,1.475,fused_pwl
512,256,1024,256x512x1024,fp32,1.5707915273132664,1.1132075471698113,fused_taylor
1024,512,2048,512x1024x2048,fp32,1.5711098717233687,1.2133333333333334,fused_pwl
1024,512,2048,512x1024x2048,fp32,1.5711098717233687,1.1446540880503144,fused_taylor
2048,1024,4096,1024x2048x4096,fp32,1.5712691771269176,1.0921787709497206,fused_pwl
2048,1024,4096,1024x2048x4096,fp32,1.5712691771269176,0.9043947571318427,fused_taylor
4096,2048,4096,2048x4096x4096,fp32,1.499938972293421,0.9756388822545976,fused_pwl
4096,2048,4096,2048x4096x4096,fp32,1.499938972293421,0.8841991341991342,fused_taylor
128,128,512,128x128x512,bf16,1.8858131487889274,1.7894736842105263,fused_pwl
128,128,512,128x128x512,bf16,1.8858131487889274,1.4782608695652173,fused_taylor
512,256,1024,256x512x1024,bf16,1.5707915273132664,1.7142857142857142,fused_pwl
512,256,1024,256x512x1024,bf16,1.5707915273132664,1.2,fused_taylor
1024,512,2048,512x1024x2048,bf16,1.5711098717233687,1.4642857142857142,fused_pwl
1024,512,2048,512x1024x2048,bf16,1.5711098717233687,0.8541666666666666,fused_taylor
2048,1024,4096,1024x2048x4096,bf16,1.5712691771269176,1.1805555555555556,fused_pwl
2048,1024,4096,1024x2048x4096,bf16,1.5712691771269176,0.8436724565756824,fused_taylor
4096,2048,4096,2048x4096x4096,bf16,1.499938972293421,1.0855855855855856,fused_pwl
4096,2048,4096,2048x4096x4096,bf16,1.499938972293421,0.8791036998436685,fused_taylor
